,level_0,index,article_name,country,revision_id,scores,population
13036,13036,2839,Joseph Allison (South African politician),South Africa,713913065,Stub,57700000
13037,13037,2843,Friedrich Kaufmann Höhne,South Africa,713916950,Stub,57700000
13038,13038,2845,Oloff Johannes Truter,South Africa,713927084,Start,57700000
13039,13039,2876,Harry van Heerden,South Africa,714130697,Stub,57700000
13040,13040,2896,Max van Hulsteyn,South Africa,714209265,Stub,57700000
13041,13041,2950,John Michael Peacock,South Africa,714417954,Start,57700000
13042,13042,2987,William Duncan Baxter,South Africa,714525045,Stub,57700000
13043,13043,3044,John Frost (politician),South Africa,714701151,Start,57700000
13044,13044,3049,Lentheng Helen Mekgwe,South Africa,714706859,Stub,57700000
13045,13045,3063,Duma Nkosi,South Africa,714801634,Stub,57700000
13046,13046,3143,William GL Janse van Rensburg,South Africa,714885857,Stub,57700000
13047,13047,3209,Oupa Monareng,South Africa,715134345,Stub,57700000
13048,13048,3228,Jabu Moleketi,South Africa,715192750,Stub,57700000
13049,13049,3233,Kraai van Niekerk,South Africa,715242156,Start,57700000
13050,13050,3241,Themba Godi,South Africa,715312773,Stub,57700000
13051,13051,3314,Mluleki George,South Africa,715511188,Stub,57700000
13052,13052,3381,Wesley Douglas (politician),South Africa,715660960,Stub,57700000
13053,13053,3411,Kate Molale,South Africa,715783409,Start,57700000
13054,13054,3468,Mbongeleni Zondi,South Africa,715979322,Stub,57700000
13055,13055,3533,Bongi Sithole,South Africa,716357259,Stub,57700000
13056,13056,3546,Ipuseng Ditshetelo,South Africa,716454735,Stub,57700000
13057,13057,3553,John Christie (mayor),South Africa,716499299,Start,57700000
13058,13058,3614,John Gunda,South Africa,716705278,Stub,57700000
13059,13059,3622,Jessie Duarte,South Africa,716732320,Stub,57700000
13060,13060,3627,Stevens Mokgalapa,South Africa,716759958,Stub,57700000
13061,13061,3666,Erik Marais,South Africa,716849546,Stub,57700000
13062,13062,3669,Ken Andrew,South Africa,716853136,Stub,57700000
13063,13063,3777,Lourens Muller,South Africa,717358696,Stub,57700000
13064,13064,3786,Maureen Modiselle,South Africa,717364200,Stub,57700000
13065,13065,4077,Mpumi Mpofu,South Africa,718185611,Stub,57700000
13066,13066,4369,Edward Bhengu,South Africa,719300746,Stub,57700000
13067,13067,4994,Leon Wessels,South Africa,721393902,Start,57700000
